trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.02, 'e': 0.10228420671553744}",25,11,27.813562450412057,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.02, 'e': 0.1002588437228037}",30,7,14.50830982281873,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.02, 'e': 0.09827358560436154}",35,12,33.09201794209338,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': 0.09632763823049303}",25,16,16.270637927604206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': 0.09442022319630235}",30,20,18.072441993930354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': 0.09255057751034329}",20,14,1.3320633482978401,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.02, 'e': 0.09071795328941251}",20,6,28.583447358933523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.02, 'e': 0.08892161745938634}",20,15,10.306914467731573,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': 0.0871608514619813}",20,14,8.58006117889937,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.02, 'e': 0.08543495096732123}",20,12,14.462770888462316,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': 0.08374322559219596}",20,16,7.003295028808983,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.02, 'e': 0.0820849986238988}",30,16,-14.141527762954814,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.02, 'e': 0.08045960674953244}",25,15,17.265701467718657,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': 0.07886639979067495}",25,17,12.748699496983456,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': 0.07730474044329974}",25,15,8.270637796406248,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': 0.07577400402284548}",25,15,18.447586503508077,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': 0.07427357821433388}",25,5,33.07439404451063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
